#gene,symbol,ABCC8,APOE,CDC123,CDKAL1,COBLL1,GCKR,GIPR,HNF1A,HNF4A,HTT,IGF2BP2,KCNJ11,SLC16A11,SLC30A8,TCF7L2,TGFB1,TLE4,TMCC,WDR13,WFS1,NumberOfSamples
ENSG00000106772,PRUNE2,0.642,0.658,0.571,0.497,0.568,1,0.561,1,1,1,0.467,0.541,0.61,1,0.634,0.629,0.613,0.634,0.661,1,14
ENSG00000108924,HLF,0.523,0.32,0.557,0.595,1,1,0.51,0.218,0.197,0.454,0.581,1,0.529,1,1,0.473,1,0.575,0.434,0.575,14
ENSG00000110665,C11orf21,0.412,0.356,0.333,0.36,0.485,1,1,0.438,0.116,0.272,0.556,1,0.416,1,0.388,0.29,0.564,0.545,1,1,14
ENSG00000116147,TNR,0.226,0.36,0.573,1,0.539,1,0.349,1,1,0.599,0.458,0.461,0.295,1,0.194,0.228,0.554,0.477,0.5,1,14
ENSG00000121769,FABP3,1.85,1.828,2.405,1.721,2.773,1,1,1.769,1.731,2.887,1,1,2.109,1,1.678,2.57,1.986,1.663,1,1.52,14
ENSG00000122694,GLIPR2,1.82,2.025,1.968,3.067,1,1,1.947,2.068,9.734,1.788,2.272,1,2.507,1,2.093,1.54,1,2.459,1,1.902,14
ENSG00000122877,EGR2,0.117,0.642,1,1,1.624,0.38,0.441,0.257,1,0.121,0.212,1.717,1,0.444,0.663,0.413,0.292,1,1,0.284,14
ENSG00000124215,CDH26,0.416,0.501,0.268,1,0.356,1,0.597,0.639,0.172,0.666,1,1,0.384,1,0.484,0.611,0.459,0.362,0.587,1,14
ENSG00000124766,SOX4,1,1.602,2.277,2.13,2.549,1,1,2.461,2.638,1.658,1,1,2.083,1,1.752,1.675,1.614,1.853,1.552,1.546,14
ENSG00000126878,AIF1L,1,1,2.366,2.224,1.72,1,1,5.125,6.63,1.646,1,1.942,2.616,0.607,1,1.675,1.592,2.61,4.776,1.998,14
ENSG00000128536,CDHR3,0.394,0.401,0.458,0.538,0.483,1,0.371,1,0.212,0.583,1,1,0.448,1,0.298,0.572,0.527,0.546,0.604,1,14
ENSG00000129538,RNASE1,6.979,3.52,1.835,3.042,1,1,2.969,3.598,2.027,6.065,3.587,2.706,4.404,1,13.386,7.622,1,1,2.237,1,14
ENSG00000131055,COX4I2,0.194,0.15,0.102,0.262,0.095,1,1,0.503,0.117,0.278,0.305,1,0.396,1,0.385,0.339,0.212,0.09,1,1,14
ENSG00000132470,ITGB4,1.627,0.498,2.764,2.778,2.299,1,1,10.711,9.537,1.62,1,1,3.02,0.452,1.642,2.474,1,1,3.176,1.889,14
ENSG00000133083,DCLK1,4.305,6.447,19.753,6.814,7.475,1,1,6.742,79.254,6.318,1,1,7.303,1,21.429,4.928,8.725,5.925,6.355,1,14
ENSG00000134013,LOXL2,0.248,0.217,0.48,1,0.373,1,0.36,1,0.499,0.407,0.283,0.564,0.487,1,0.269,0.345,0.209,0.365,1,1,14
ENSG00000134323,MYCN,1,1.878,1.778,2.891,1.552,1,1.99,5.039,5.764,2.798,1,1,2.788,1,4.261,2.592,1,1.836,4.498,1.711,14
ENSG00000134569,LRP4,2.271,1.829,2.087,1.856,1.536,1,1,1,2.734,2.128,2.213,2.617,2.204,1,2.102,2.375,1.788,1.796,1,1,14
ENSG00000135069,PSAT1,1,1.689,2.183,2.754,1.974,1,1,2.695,12.088,3.615,1,2.741,3.477,1,6.011,2.909,1,2.522,4.958,1.651,14
ENSG00000137699,TRIM29,20.45,1,17.953,1,36.081,1,5.32,7.229,88.374,7.414,18.011,14.768,50.865,1,6.082,32.515,1,28.207,93.613,1,14
ENSG00000138109,CYP2C9,0.169,0.6,1,0.333,0.402,1,1,0.427,0.074,0.33,0.48,1,0.478,1,0.484,0.133,1,0.308,0.186,0.319,14
ENSG00000138772,ANXA3,1.495,1.629,1.697,2.085,1.809,1,1,3.912,4.354,1.84,1,2.073,2.026,1,2.979,2.474,1.781,1,1.647,1,14
ENSG00000140403,DNAJA4,3.075,2.54,1,1.844,1,2.125,1,1.75,2.799,3.216,2.505,2.006,2.128,1,2.547,2.17,1,2.146,1.829,1,14
ENSG00000143013,LMO4,2.093,1.967,2.363,1.932,1.792,1,1.924,2.685,3.669,2.226,1,2.178,2.12,1,3.312,2.82,1,1,2.23,1,14
ENSG00000144668,ITGA9,1.851,1.615,1.651,1.922,1,1.774,1,4.365,2.871,1,1.812,4.114,2.858,1,2.802,2.173,1,1.877,2.641,1,14
ENSG00000145934,TENM2,0.46,0.542,1,1,0.668,1,0.469,1.62,0.517,1,0.534,0.585,0.267,0.577,0.062,0.346,1,0.469,0.555,1,14
ENSG00000150471,ADGRL3,1,1.785,2.785,1.723,2.586,1.635,0.498,3.139,6.151,1,1,4.997,2.891,1,2.671,3.779,1,2.735,3.542,1,14
ENSG00000153253,SCN3A,0.374,0.634,0.53,0.442,0.474,1,0.492,0.586,0.636,0.539,0.548,1,0.481,1,0.37,0.468,1,0.526,1,1,14
ENSG00000154864,PIEZO2,2.166,2.562,2.198,1.692,2.048,1,1,1,2.114,3.884,2.033,2.94,2.234,1.538,8.384,2.977,1.946,1,1,1,14
ENSG00000157399,ARSL,2.359,1.81,2.07,2.074,1.642,1,1,0.033,0.047,2.219,1.878,1,1.61,1,2.023,1.829,1.757,1.759,1,1,14
ENSG00000158747,NBL1,2.71,1,2.668,1.921,1.755,1,2.161,2.382,4.369,1.731,1.827,1,2.001,1,2.997,2.025,1.855,1,1.651,1,14
ENSG00000162433,AK4,0.484,0.575,0.629,0.488,0.465,1.605,1,0.566,0.326,0.451,0.617,2.23,0.548,1,1,1,1,0.389,1,0.649,14
ENSG00000163430,FSTL1,1,1,1.602,1.608,1,1.618,0.634,3.7,5.707,1.753,1,1.923,1.937,0.646,1.692,1.766,1,1.517,2.137,1,14
ENSG00000163453,IGFBP7,3.026,1.565,1.795,2.012,1.681,1,3.53,1,6.462,2.963,2.228,1.565,2.758,1,3.863,3.13,1,1,1.974,1,14
ENSG00000164626,KCNK5,0.5,0.496,0.3,1,0.578,0.487,1,0.305,0.157,0.364,0.616,0.602,0.609,1,0.604,1,0.23,0.602,1,1,14
ENSG00000164687,FABP5,2.126,2.224,2.313,1,2.367,1,1.751,2.993,9.466,1.772,1,1,3.014,1,1.929,2.963,1.709,1,2.198,1.685,14
ENSG00000166426,CRABP1,27.415,32.752,11.621,7.679,11.197,1,1,11.336,279.501,1,1,21.698,607.221,1,7.244,139.95,1,265.143,329.215,7.693,14
ENSG00000166923,GREM1,2.643,3.723,4.119,2.503,4.456,1,1,1,1,2.878,2.049,1.764,4.182,1,3.03,4.397,3.666,4.015,2.447,1,14
ENSG00000167080,B4GALNT2,1,2.608,1,2.103,1,1,3.515,0.459,0.01,3.15,2.702,7.261,1,1,5.324,5.901,0.433,0.392,2.605,0.395,14
ENSG00000167700,MFSD3,2.607,1,2.218,1.917,2.086,1,2.473,2.016,2.483,1.518,1.577,0.408,2.317,1,1.781,1.779,1,1,1.81,1,14
ENSG00000168386,FILIP1L,1.823,2.314,1.613,1.985,1.627,1,1,1,3.267,3.115,1.586,1,1.526,1,3.561,2.29,1.638,1.547,1,1.654,14
ENSG00000168453,HR,3.502,1,1,1,1.537,1,2.09,1,1.628,1.865,2.075,1,1.857,1.55,2.024,1.787,0.664,2.244,2.16,1.555,14
ENSG00000168899,VAMP5,2.809,1.936,2.037,1,1.846,1,3.068,1.795,1,3.078,2.315,1,2.414,1,2.075,2.065,2.206,1.941,1.923,1,14
ENSG00000169174,PCSK9,2.197,1,1.545,2.471,2.873,1,1.647,0.34,0.397,1.573,1.775,1,1.9,1,1.529,1.791,1,1.649,1,1.698,14
ENSG00000169252,ADRB2,4.51,3.328,2.676,2.505,1.773,1,1.721,1,3.589,2.309,2.742,1.81,1,1,3.51,3.703,2.492,1,2.271,1,14
ENSG00000171126,KCNG3,0.129,0.191,0.302,1,0.327,1,0.38,0.359,0.202,0.293,0.248,1,0.299,1,0.213,0.357,0.276,0.29,1,1,14
ENSG00000171992,SYNPO,0.251,0.239,0.301,0.436,0.228,1,1,0.469,0.098,0.149,0.456,1,0.215,1,0.462,0.472,0.321,0.17,1,1,14
ENSG00000172137,CALB2,0.049,1,1,2.051,1,4.177,0.339,2.571,0.244,1,1,2.56,0.235,1,0.224,0.409,0.412,0.129,2.135,2.344,14
ENSG00000172264,MACROD2,0.424,0.626,0.409,0.613,1,1,1,0.558,1,0.525,0.642,0.489,0.595,1,0.36,0.554,0.643,0.517,0.653,1,14
ENSG00000176532,PRR15,4.781,1,3.089,3.8,2.417,1,2.432,2.814,3.651,3.025,2.685,1,3.305,1,4.707,5.279,1,2.539,3.415,1,14
ENSG00000178999,AURKB,1.956,1.712,2.706,3.996,1.586,1,1,4.752,9.345,3.522,1,1,2.658,0.357,4.464,2.407,1,1.996,4.679,1,14
ENSG00000179388,EGR3,0.169,0.398,0.491,1,1,0.502,0.186,1,1,0.222,0.247,2.81,0.458,0.345,0.499,0.437,0.111,1,1,0.142,14
ENSG00000179603,GRM8,0.435,0.487,1,0.455,0.543,0.568,0.502,1,0.645,1,0.414,0.527,0.354,1,0.176,0.331,1,0.359,0.456,1,14
ENSG00000180340,FZD2,1,0.414,2.756,3.313,1.966,1.691,0.396,12.544,9.735,1,0.488,1,2.907,0.332,1,1.681,1,1,4.289,1.908,14
ENSG00000181449,SOX2,1,0.538,2.496,2.204,2.132,1.686,0.453,9.887,10.8,1,1,3.243,3.322,0.32,0.042,4.026,1,1,5.532,1,14
ENSG00000182022,CHST15,1,0.649,2.331,2.834,1.891,1.936,0.326,8.432,5.847,1,1,2.345,2.157,0.508,2.02,2.23,1,1,2.175,1,14
ENSG00000182154,MRPL41,2.752,1,2.263,1.684,1.912,1,3.371,2.339,2.418,1.717,1.742,0.413,2.269,1,1.894,1.703,1,1,1.838,1,14
ENSG00000182327,GLTPD2,3.148,1,2.013,1,1.914,0.662,3.885,0.057,0.041,1.734,1.836,0.413,2.42,1,2.126,2.116,1,1,1.919,1,14
ENSG00000182968,SOX1,0.178,0.162,0.326,1,0.253,1,0.512,1,0.394,0.397,0.294,1,0.301,1,0.491,0.254,0.155,0.306,0.558,1,14
ENSG00000197483,ZNF628,2.165,0.642,2.734,1,2.549,0.527,1.861,1.987,2.257,1,1,0.445,3.054,1,1.565,1.538,1,1.711,2.043,1,14
ENSG00000198947,DMD,1,2.127,1.709,1.531,1.689,1,1,1.63,2.199,1.605,1,2.39,1.72,1,1.816,2.21,1.819,1.848,1.891,1,14
ENSG00000204387,SNHG32,2.335,1,2.21,1.613,2.32,1,2.798,2.511,2.221,1.638,1.943,1,2.718,1,2.526,2.273,1,1.757,2.132,1,14
ENSG00000224093,BCAR3-AS1,0.585,0.43,0.473,0.626,0.53,1,0.65,0.177,0.123,0.434,1,0.647,0.57,1,1,0.537,1,0.618,0.575,1,14
ENSG00000237440,ZNF737,0.031,0.075,0.024,1,0.02,5.406,0.122,1,1,0.174,0.026,4.022,0.186,1,1,0.062,0.007,0.102,1,0.009,14
ENSG00000244040,IL12A-AS1,6.593,7.371,8.395,4.186,7.592,1,3.432,1,13.444,5.207,4.9,1,5.223,1,7.245,7.33,6.261,5.514,1,1,14
ENSG00000248905,FMN1,4.517,3.33,3.192,1,2.548,1,1,1,5.012,2.472,3.295,1.983,2.4,1,3.327,4.147,2.119,2.818,1.85,1,14
ENSG00000260492,CISTR,0.105,0.114,0.068,1,0.298,1,0.267,1,0.089,1,0.123,0.19,0.131,0.303,0.101,0.05,0.293,0.336,1,1,14
ENSG00000263711,LINC02864,0.031,1,1,2.989,0.311,1,0.009,1,1,0.078,1,4.696,0.476,0.305,3.577,0.152,0.292,0.234,0.196,0.107,14
ENSG00000272141,AL390719.2,4.505,2.319,1,2.405,1,1,3.429,4.215,2.737,3.574,2.066,1,2.876,1,1.815,2.069,1,2.061,2.89,2.336,14
ENSG00000279133,AC018628.1,0.208,0.582,1,0.192,0.574,0.36,0.258,0.441,0.481,1,0.35,1,0.472,1,0.399,0.301,1,1,0.25,0.463,14
ENSG00000004848,ARX,2.187,1,2.027,1.659,1.985,1,1.821,1.664,3.124,1.537,1,1,2.446,1,1.515,2.36,1,1.685,1.913,1,13
ENSG00000006659,LGALS14,0.153,0.154,0.29,0.182,0.142,1,1,0.04,0.077,0.159,0.317,1,0.219,1,1,1,1,0.072,0.272,0.325,13
ENSG00000008394,MGST1,3.91,3.252,4.103,1,2.788,1,2.749,1,4.485,3.243,3.347,1,3.538,1,4.181,5.363,5.175,1,3.288,1,13
ENSG00000041982,TNC,1,1.652,1,4.217,1,0.51,1,2.072,3.314,4.758,2.58,3.855,2.941,1,4.797,3.791,0.541,1,2.536,1,13
ENSG00000043039,BARX2,0.273,0.25,0.486,0.528,0.315,1,1,1,0.659,0.253,0.5,1,0.329,1,1,0.547,0.476,0.164,1,0.554,13
ENSG00000064201,TSPAN32,1,0.364,0.47,0.626,0.593,1,1,0.6,0.097,0.416,1,0.486,0.492,1,0.569,0.319,0.514,0.514,1,1,13
ENSG00000067842,ATP2B3,0.464,0.418,0.478,0.512,0.637,1,1,0.465,0.34,0.283,1,0.611,1,1.513,0.519,0.301,0.574,1,1,1,13
ENSG00000070748,CHAT,0.307,0.329,0.23,0.066,0.366,0.302,0.306,1,1,0.135,0.23,0.137,1,1,0.191,0.141,0.228,1,1,1,13
ENSG00000074803,SLC12A1,0.247,1,1,0.066,0.39,1,0.326,0.487,0.628,0.241,0.404,1,0.172,1,0.233,0.339,1,0.105,0.381,1,13
ENSG00000079102,RUNX1T1,0.307,0.546,0.563,0.544,1,1,0.508,1,0.637,0.485,0.436,1,0.401,1,0.311,0.558,0.579,0.487,1,1,13
ENSG00000085741,WNT11,3.278,2.67,4.29,7.661,3.939,1,5.402,1,3.035,4.326,1,4.71,8.267,1,29.254,5.794,1,1,6.159,1,13
ENSG00000090674,MCOLN1,2.275,1,2.105,2.704,1.584,1,1.785,1.712,2.304,2.069,1.737,1,1.616,1,1.644,1,1.72,1,1,1.548,13
ENSG00000100985,MMP9,3.866,1,3.247,3.731,6.965,1,2.307,1,3.262,1,2.539,1,7.414,1,3.351,3.029,1,3.524,6.38,2.551,13
ENSG00000101412,E2F1,1.95,1,2.146,3.198,1.627,1,1,4.508,9.045,1.861,1,1,2.35,1,2.124,1.807,1,1.929,2.542,1.694,13
ENSG00000102452,NALCN,0.246,0.276,0.444,1,0.358,1,0.215,2.025,1,1,0.347,0.093,0.224,1,0.095,0.099,0.084,0.411,1,1,13
ENSG00000107562,CXCL12,0.211,0.371,1,1,1,1,0.448,1,0.484,0.417,0.263,0.509,0.431,0.524,0.32,0.233,1,0.584,0.464,1,13
ENSG00000114019,AMOTL2,1,1.612,3.253,2.648,2.336,1,1,5.815,5.775,1.654,1,1,2.441,1,2.129,1.914,1.61,1.526,2.362,1,13
ENSG00000114455,HHLA2,1.841,1.843,1,1,0.386,0.498,2.642,0.23,0.01,3.214,1,1.855,1,1,3.981,4.054,1,0.309,1,0.481,13
ENSG00000121898,CPXM2,4.573,2.682,1,2.805,1.952,1,4.681,1,1,6.56,4.496,3.098,3.315,2.369,9.483,2.065,1,1,4.344,1,13
ENSG00000122787,AKR1D1,1.803,3.327,1,3.095,1,1,2.827,0.39,0.165,3.253,1.82,5.694,1,1.935,11.32,4.396,1,1,1.723,1,13
ENSG00000125266,EFNB2,1,1,2.234,2.035,2.527,1.667,0.592,6.131,5.763,1,1,2.712,2.457,1,2.842,2.504,1,1.688,2.708,1,13
ENSG00000125730,C3,1,1.517,1,2.596,1,1,2.456,0.357,0.124,1,1.52,6.031,1.778,1.644,2.616,1.9,1,0.523,1.863,1,13
ENSG00000128564,VGF,4.181,1,2.702,2.777,3.221,1,1.657,1,2.615,1.751,2.081,1,2.661,1,2.777,2.739,1,1.903,2.525,1,13
ENSG00000129951,PLPPR3,1.618,1,3.281,2.397,2.928,1,1.904,8.051,12.505,1,1,1,3.889,1,2.24,1.851,1,1.821,3.897,1.819,13
ENSG00000130701,RBBP8NL,3.36,1,3.682,6.089,2.426,1,2.336,12.253,9.628,2.473,2.248,1,2.62,1,5.316,4.603,1,1,3.352,1,13
ENSG00000130748,TMEM160,3.519,1,2.314,1,2.085,1,5.117,3.691,2.994,2.224,2.266,0.465,2.683,1,2.161,2.28,1,1,2.12,1,13
ENSG00000132744,ACY3,3.405,2.68,1,5.884,1,1,4.925,2.652,0.168,3.091,3.441,2.752,4.142,1,8.818,6.597,1,1,2.355,1,13
ENSG00000135111,TBX3,1,1.813,2.476,6.338,2.696,1.812,1,1,2.338,1,1,3.256,2.849,1,6.829,1.922,2.53,3.371,3.364,1,13
ENSG00000135144,DTX1,0.622,0.344,1,1,0.598,0.62,0.643,1.846,1,0.526,0.468,0.457,1,1,0.194,0.352,0.525,1,1.562,1,13
ENSG00000135406,PRPH,0.511,0.448,0.392,2.44,0.578,1,1,7.922,5.282,1,0.277,1,2.189,1,0.456,0.511,0.315,1,1.511,1,13
ENSG00000135919,SERPINE2,2.091,3.045,2.814,1.994,2.289,1,1,1,2.632,2.078,1.692,1,1.809,1,3.369,2.07,2,1.929,1,1,13
ENSG00000137331,IER3,1.506,1,3.102,2.406,2.173,1,1,2.01,2.465,1,1,1,1.759,1,3.089,1.676,1.508,1.908,1.518,1.65,13
ENSG00000137818,RPLP1,1.798,1,1.675,1.613,1.588,1,2.382,1.659,2.185,1.538,1,0.575,1.776,1,1.847,1.664,1,1,1.652,1,13
ENSG00000138166,DUSP5,0.367,0.496,0.631,1,1,1,0.432,0.486,0.225,0.368,0.404,1,0.661,1,1,0.514,0.491,1,0.66,0.564,13
ENSG00000140044,JDP2,2.307,1,2.402,4.957,2.254,1,1.665,8.753,13.111,2.632,1,1.761,3.513,1,3.746,3.047,1,1,4.476,1,13
ENSG00000142910,TINAGL1,2.456,1.865,1.762,2.224,1.792,1,2.681,2.08,2.655,4.789,1,1,3.03,1,4.728,2.791,1,1,2.671,1,13
ENSG00000143627,PKLR,1,0.347,0.355,0.442,0.601,0.642,1,0.002,0.002,0.542,1,0.288,1,1,0.418,0.443,0.512,1,0.611,1,13
ENSG00000144596,GRIP2,0.326,0.555,0.255,0.503,0.459,1,1,1,0.233,0.445,0.488,0.41,0.619,1,0.37,0.339,0.297,1,1,1,13
ENSG00000144771,LRTM1,0.154,0.238,0.405,0.192,0.428,1,1,0.19,0.031,1,0.36,1,0.323,1,0.28,0.493,1,0.227,0.611,1,13
ENSG00000145284,SCD5,1,1,2.344,1.944,2.298,2.034,1,7.45,9.734,1,1,2.91,3.138,0.497,7.015,3.185,1,2.114,4.195,1,13
ENSG00000146147,MLIP,0.421,0.653,1,0.502,0.457,1,0.563,1,1,0.562,1,0.284,0.171,1,1,0.295,0.474,0.192,0.255,0.545,13
ENSG00000146386,ABRACL,1.98,1,1.752,2.299,1.584,1,1,2.502,2.334,1.752,1,1.954,1.755,1,2.321,2.221,1.761,1,1.778,1,13
ENSG00000151962,RBM46,0.065,2.926,0.093,2.717,1,2.815,0.266,1,2.256,1,1,2.704,2.983,3.996,13.422,1,0.334,1,2.607,1,13
ENSG00000152076,CCDC74B,1.606,1.917,1.864,1.571,1,1,2.132,1.865,2.985,1.91,1.64,0.629,1,1,1.874,1,1,1.631,1,1.693,13
ENSG00000152377,SPOCK1,0.337,0.512,1,1,1,1.832,0.381,1.744,2.518,0.549,0.308,1.789,1,1,1,0.419,0.387,0.376,1,0.609,13
ENSG00000153012,LGI2,1,1,1,1.544,2.207,1.667,0.516,2.163,2.622,1,1,2.001,1.942,1,0.649,1.595,0.591,1.65,2.125,1,13
ENSG00000153902,LGI4,0.366,0.285,0.551,0.487,0.279,1,1.751,0.143,0.083,0.343,0.578,1,0.511,1,1,1,0.406,0.209,1,1,13
ENSG00000155052,CNTNAP5,0.406,1,1,0.49,0.625,1,0.553,1.522,1,1,0.538,0.54,0.351,1,0.317,0.47,0.647,0.512,0.604,1,13
ENSG00000156968,MPV17L,0.356,0.383,0.399,1,0.402,0.463,1,0.187,0.066,0.076,0.381,1,1,1,1,0.399,0.553,0.394,0.354,1,13
ENSG00000158874,APOA2,1.992,2.362,4.234,1.953,3.096,1,1.674,0.237,0.106,2.189,1,1,2.162,1,3.254,2.924,3.45,1,1,1,13
ENSG00000159399,HK2,0.547,1,1,0.579,0.302,1.868,1.57,1,0.59,0.662,1,2.832,0.287,1,2.463,2.046,1,0.263,1.878,1,13
ENSG00000161618,ALDH16A1,2.513,1,2.022,1.606,1.766,1,2.482,2.2,2.078,1,1.497,0.591,1.988,1,1.527,1.676,1,1,1.631,1,13
ENSG00000161714,PLCD3,2.547,1,1.941,2.551,1.743,1,2.128,3.316,2.07,2.239,1.603,1,2.687,1,3.19,3.105,1,1,1.904,1,13
ENSG00000163499,CRYBA2,2.738,1.755,1.783,2.768,1.934,1,1.657,2.125,1.677,1.929,1,0.655,1.762,1,1,1,1,2.048,1,2.012,13
ENSG00000164251,F2RL1,1.602,1.73,2.569,1.647,2.413,1,1,1,2.011,1.879,1,2.086,2.223,1,3.605,2.583,2.001,1.85,1,1,13
ENSG00000164692,COL1A2,0.508,0.222,0.498,1.819,1,0.608,0.663,2.464,1,0.476,0.573,0.591,1,1,1,0.577,0.294,1,1,1.812,13
ENSG00000165474,GJB2,3.075,2.471,2.498,2.408,2.131,1,1,1,1,1,2.045,2.369,3.771,1.933,12.875,3.916,1,2.252,2.74,1,13
ENSG00000165804,ZNF219,2.041,1,2.077,1.91,1.76,1,2.07,2.598,3.868,1,1,0.564,2.27,1,1.693,1.783,1,1.495,2.4,1,13
ENSG00000166025,AMOTL1,1.972,1.808,1.906,1,1.619,1,1,1,2.079,1.685,1.823,1.736,1,1,1.68,2.123,1.878,2.01,1.757,1,13
ENSG00000167755,KLK6,6.412,5.199,1,5.072,2.348,1,5.153,2.982,1,4.674,5.668,3.091,6.968,1,6.726,16.464,1,1,7.547,1,13
ENSG00000169306,IL1RAPL1,0.298,0.581,1,1,0.596,1,0.485,1.811,0.589,0.433,0.574,1,0.206,1,0.211,0.406,1,0.325,0.505,1,13
ENSG00000169403,PTAFR,1,1,0.634,1.688,0.409,1,1.701,1,0.207,1.63,1,2.939,1,1.923,4.348,2.475,0.511,0.504,1,0.499,13
ENSG00000169418,NPR1,3.204,2.671,1.996,1,1.594,1,2.381,0.567,0.625,2.689,2.278,0.594,1,1,2.229,2.297,1,1,1,1.911,13
ENSG00000169507,SLC38A11,0.405,1,0.542,0.561,0.545,1,0.413,0.099,0.081,0.509,0.582,1,0.479,1,0.286,0.58,1,0.476,1,1,13
ENSG00000173083,HPSE,0.494,0.556,0.533,0.49,1,1,0.608,1,0.222,0.559,0.537,1,0.559,1,0.282,0.513,1,0.531,0.648,1,13
ENSG00000173376,NDNF,2.206,2.152,2.033,1,1,1.676,1.575,1,1,1.521,2.25,3.516,1.866,1,1.629,2.836,1,1.816,2.572,1,13
ENSG00000173599,PC,2.748,1,2.219,2.127,1.737,1,1.791,1.498,2.178,1,1.855,1,1.568,1,1.936,1.814,1.674,1.513,1,1,13
ENSG00000173621,LRFN4,2.59,1,2.628,2.216,2.316,0.601,2.923,3.922,5.024,1,1,0.431,3.033,1,2.314,2.187,1,1,2.292,1,13
ENSG00000174640,SLCO2A1,0.289,0.363,1,1.78,0.644,1.977,0.496,2.381,1,0.448,0.568,2.188,0.593,1,1,0.513,1,0.345,1,1,13
ENSG00000176170,SPHK1,7.458,4.03,3.124,4.401,1,0.191,8.722,1,1,4.612,4.183,0.282,5.318,1,14.654,1,1,2.958,3.83,1,13
ENSG00000177191,B3GNT8,2.587,1,1.847,1.936,1.754,0.557,2.806,1,2.637,1.615,1.51,0.337,1.943,1,2.05,1,1,1.555,1,1,13
ENSG00000178531,CTXN1,2.182,1,3.423,2.359,3.313,1,2.169,6.116,8.615,1.83,1,0.265,3.155,1,1,1.857,1,1.693,2.68,1,13
ENSG00000180730,SHISA2,1.562,2.046,3.46,2.042,1.936,1.941,1,1,4.442,1.961,1,2.11,1,1,1.636,2.355,2.321,1,2.718,1,13
ENSG00000180914,OXTR,1,1,2.445,1,1.871,2.493,0.344,11.06,25.305,1,0.426,2.328,1.886,0.237,0.342,2.446,1,1,2.888,1,13
ENSG00000182575,NXPH3,2.534,1.845,1.63,1.834,1.542,1,2.047,1.83,2.337,1,1.824,1,1,1,2.595,1.861,1,2.256,2.245,1,13
ENSG00000182718,ANXA2,1.733,1,1.841,2.638,1.527,1.557,1,5.712,4.048,2.307,1,2.39,2.212,1,3.232,2.599,1,1,1.761,1,13
ENSG00000184058,TBX1,0.072,0.144,1,3.08,1,1,0.364,4.547,4.365,0.146,0.376,1,0.415,1,0.357,0.29,1,0.191,1,0.159,13
ENSG00000185340,GAS2L1,2.755,1,2.003,2.631,1.836,1,2.283,2.786,2.821,1,1.624,1,2.427,1,2.503,2.244,1,1.564,2.304,1,13
ENSG00000185652,NTF3,1,1,2.613,1.991,1.876,1,2.111,4.75,5.564,2.155,2.262,2.633,2.57,1,5.596,3.015,1,1,2.329,1,13
ENSG00000185737,NRG3,0.154,0.375,1,1,0.526,1,0.491,1.65,1.538,1,0.267,0.289,0.434,1,0.065,0.12,1,0.444,0.617,1,13
ENSG00000196338,NLGN3,0.335,0.338,0.572,1,0.565,1,0.645,1,0.334,0.432,0.441,0.546,0.475,1,0.247,0.292,1,0.6,1,1,13
ENSG00000198237,GUSBP13,0.235,0.494,0.349,1,0.439,1,0.409,0.612,0.118,1,0.61,0.517,0.373,1,0.385,0.232,1,1,0.554,1,13
ENSG00000198825,INPP5F,0.329,1.534,0.374,1,1.699,1,0.349,1,0.546,1,0.452,1,0.393,0.668,1,0.455,0.437,1.795,2.416,1,13
ENSG00000204936,CD177,1.686,0.342,1,1,0.541,1,0.379,4.982,0.477,1,1.734,1,1,0.226,1.899,2.079,1,0.251,0.523,0.536,13
ENSG00000205502,C2CD4B,2.475,1,1.549,1.52,2.235,1,1.647,0.581,1,1,1.987,0.549,3.003,1,4.567,2.074,1,2.301,2.003,1,13
ENSG00000211640,IGLV6-57,3.315,1,1,1,2.465,1,1.938,1,2.769,2.608,3.367,3.448,4.823,1.922,2.102,2.296,1,5.603,4.155,1,13
ENSG00000226332,AL354836.1,2.931,2.874,3.377,2.724,1,1,1.722,4.181,4.49,3.34,1.912,1,1.66,1,1,1.819,2.028,1,1,1.985,13
ENSG00000233276,GPX1,2.126,1,1.792,1.844,1.649,1,2.737,2.095,1.862,1.534,1,0.436,1.941,1,2.17,1.51,1,1,1.574,1,13
ENSG00000240253,FAR2P3,0.199,1,0.323,1,0.304,1,0.294,1,0.302,0.283,0.378,0.326,0.206,1,1,0.182,0.339,0.236,0.182,1,13
ENSG00000248118,LINC01019,0.321,0.304,1,0.3,1,1,0.476,2.081,0.378,0.439,0.423,1,0.402,0.401,0.116,0.143,1,1,0.426,1,13
ENSG00000256064,AC063926.1,0.311,1,0.393,0.333,0.602,1,0.351,0.574,0.301,1,0.579,1,0.335,1,0.299,0.351,0.42,1,0.482,1,13
ENSG00000260645,AL359715.2,0.395,1.667,1,0.197,1,1,0.396,0.545,0.47,0.268,0.42,1,0.374,1,0.447,0.452,1,0.367,1,0.424,13
ENSG00000266968,AC023421.1,0.335,0.494,0.447,0.638,0.505,0.65,0.406,0.003,0.017,0.363,0.33,1,1,1,1,0.376,0.375,1,1,1,13
ENSG00000269190,FBXO17,0.556,0.597,0.586,0.516,0.446,1,1,0.212,0.161,0.556,1,1,0.434,1,1,0.622,0.641,0.374,0.616,1,13
ENSG00000272462,U91328.1,0.538,0.653,0.517,0.631,1,1,0.593,0.489,0.413,0.65,0.658,1,0.583,1,0.499,0.463,1,1,0.52,1,13
