Gene,log2FoldChange (FC),abs(FC),P-adjusted
SORBS2,0.216160736,0.216160736,0.000383912
CHD7,0.219621083,0.219621083,0.001751739
ZBTB20,0.22136307,0.22136307,1.00137E-06
TCF4,0.236128343,0.236128343,0.005047305
KCNJ6,0.239975681,0.239975681,0.00557701
DDX5,0.242879953,0.242879953,0.000220559
FBXL17,0.245349976,0.245349976,0.002037083
DACH1,0.24556965,0.24556965,0.000605113
ATRX,0.246312002,0.246312002,0.00311478
STXBP5,0.248012504,0.248012504,0.000273521
FAM105A,0.24924931,0.24924931,0.004744412
FOXJ3,0.252168523,0.252168523,0.006601944
REPS1,0.253813397,0.253813397,0.003662063
ARID1B,0.254027376,0.254027376,1.78609E-05
PSPC1,0.257492421,0.257492421,0.002665096
MAN1A1,0.258270854,0.258270854,0.008408431
HDAC9,0.259053658,0.259053658,0.00158312
PITPNC1,0.259670381,0.259670381,0.00262654
GLIS3,0.260735924,0.260735924,1.62378E-10
SOX5,0.263348589,0.263348589,0.002579035
FGD4,0.264969585,0.264969585,0.000444146
RP11-1023L17.1,0.268654605,0.268654605,0.006936715
PDS5B,0.26879686,0.26879686,0.001021314
NEGR1,0.268956208,0.268956208,0.003367456
PIAS1,0.269058237,0.269058237,0.000396723
BCL2L1,0.269517812,0.269517812,0.006627631
PDE4D,0.272848474,0.272848474,6.03647E-07
PHF14,0.273942916,0.273942916,0.004566996
IGSF11,0.276521009,0.276521009,0.002622076
MPP6,0.277691934,0.277691934,0.001244931
PTEN,0.277694655,0.277694655,0.004122057
DNAJC1,0.27805019,0.27805019,0.000259352
BAZ2B,0.279005698,0.279005698,0.00029429
PHTF2,0.279041286,0.279041286,0.000519157
ICA1L,0.279430319,0.279430319,0.000796901
LLGL2,0.281508739,0.281508739,0.004660031
FNBP1L,0.284545985,0.284545985,0.004992648
TMEM232,0.285091441,0.285091441,0.005822215
GUSBP3,0.285194829,0.285194829,0.002961283
FMN1,0.28635781,0.28635781,1.80491E-05
CERS6,0.286441875,0.286441875,0.000361491
DLEU2,0.286442808,0.286442808,3.86373E-05
ELL2,0.287936974,0.287936974,0.00039036
TMEM163,0.289487665,0.289487665,0.000340923
CNTN4,0.290424271,0.290424271,6.22837E-10
MYO3A,0.290693303,0.290693303,6.40918E-05
CLASP2,0.291958994,0.291958994,1.01449E-05
PDE3B,0.292062958,0.292062958,0.00174767
CRADD,0.2933758,0.2933758,1.15596E-05
AC007246.3,0.293615996,0.293615996,0.001277299
SAMD3,0.294934785,0.294934785,0.000848473
CACNA1C,0.295283804,0.295283804,1.62097E-06
SLC7A8,0.299328914,0.299328914,0.00597669
STXBP5-AS1,0.299640407,0.299640407,0.005803865
